candidate,target,null,d_inv,d_portrait
TOL_11,BRAIN_10,CFG,0.3407688556347463,0.30975173139771794
TOL_11,BRAIN_10,CFG,0.3246675942408023,0.28926630094794314
TOL_11,BRAIN_10,CFG,0.3368766387893145,0.33824005409055136
TOL_11,BRAIN_10,CFG,0.21661525671104903,0.24304092789149417
TOL_11,BRAIN_10,CFG,0.3330114083055882,0.5177308163671767
TOL_11,BRAIN_10,CFG,0.28985779338902895,0.17747173784950954
TOL_11,BRAIN_10,CFG,0.2423595360484646,0.2511956938307536
TOL_11,BRAIN_10,CFG,0.28767625813504893,0.2068397756220837
TOL_11,BRAIN_10,CFG,0.3605368964169054,0.5135461894206526
TOL_11,BRAIN_10,CFG,0.43333201825330925,0.4511290109158311
TOL_11,BRAIN_10,CFG,0.3841193805051219,0.3758897465410222
TOL_11,BRAIN_10,CFG,0.44466531073584054,0.5742697298067124
TOL_11,BRAIN_10,CFG,0.3410489583745833,0.31463917228445887
TOL_11,BRAIN_10,CFG,0.25206463226843134,0.26355914291806565
TOL_11,BRAIN_10,CFG,0.31772510170087664,0.3586826633138449
TOL_11,BRAIN_10,CFG,0.4554828166255316,0.4634065984589516
TOL_11,BRAIN_10,CFG,0.3967811875289949,0.30261753513515266
TOL_11,BRAIN_10,CFG,0.3105385926152956,0.44345461956926197
TOL_11,BRAIN_10,CFG,0.3272750805227783,0.3153000513520044
TOL_11,BRAIN_10,CFG,0.40108333708237565,0.3615334026778042
TOL_11,BRAIN_10,CFG,0.2573712220977155,0.4101133225012341
TOL_11,BRAIN_10,CFG,0.23440000845048428,0.42233395230231596
TOL_11,BRAIN_10,CFG,0.35765249039209496,0.354055406021086
TOL_11,BRAIN_10,CFG,0.42408138898818554,0.23601489626130068
TOL_11,BRAIN_10,CFG,0.34311365845581204,0.38880278133587626
TOL_11,BRAIN_10,CFG,0.3480371615740271,0.2737199167366904
TOL_11,BRAIN_10,CFG,0.38237212906473145,0.31370830022614804
TOL_11,BRAIN_10,CFG,0.28969863591193423,0.35040968815750395
TOL_11,BRAIN_10,CFG,0.31601356678449993,0.35445691755318626
TOL_11,BRAIN_10,CFG,0.22587763982194453,0.29984458288683036
TOL_11,BRAIN_10,CFG,0.3436181841957192,0.3533513910654879
TOL_11,BRAIN_10,CFG,0.3318417001294521,0.457901593236632
TOL_11,BRAIN_10,CFG,0.3754507170811775,0.3725068554400553
TOL_11,BRAIN_10,CFG,0.24922526355091407,0.2824358714990179
TOL_11,BRAIN_10,CFG,0.4317781022319359,0.5097815120214407
TOL_11,BRAIN_10,CFG,0.30509819325580767,0.32851221750550175
TOL_11,BRAIN_10,CFG,0.4259653551377124,0.4160887290363201
TOL_11,BRAIN_10,CFG,0.2752636204107447,0.251615644269387
TOL_11,BRAIN_10,CFG,0.18691340442922688,0.3805994837778276
TOL_11,BRAIN_10,CFG,0.3460110683974942,0.2261173487640321
TOL_11,BRAIN_10,CFG,0.3223584512590905,0.34801543003498925
TOL_11,BRAIN_10,CFG,0.31023903995178037,0.32756307394127954
